    ,symbol ,name                                   ,sector                 ,sub_sector                                              ,hq                                            ,date_added  ,founded        ,market_cap    ,mkh
106 ,FI     ,Fiserv                                 ,Financials             ,Transaction & Payment Processing Services               ,"Brookfield, Wisconsin"                       ,2001-04-02  ,1984           ,  86595096000 ,86.6B
107 ,CMG    ,Chipotle Mexican Grill                 ,Consumer Discretionary ,Restaurants                                             ,"Newport Beach, California"                   ,2011-04-28  ,1993           ,  85977203400 ,86.0B
108 ,SO     ,Southern Company                       ,Utilities              ,Electric Utilities                                      ,"Atlanta, Georgia"                            ,1957-03-04  ,1945           ,  85834255000 ,85.8B
109 ,CDNS   ,Cadence Design Systems                 ,Information Technology ,Application Software                                    ,"San Jose, California"                        ,2017-09-18  ,1988           ,  81866071220 ,81.9B
110 ,ZTS    ,Zoetis                                 ,Health Care            ,Pharmaceuticals                                         ,"Parsippany, New Jersey"                      ,2013-06-21  ,1952           ,  81466909300 ,81.5B
111 ,WM     ,Waste Management                       ,Industrials            ,Environmental & Facilities Services                     ,"Houston, Texas"                              ,1998-08-31  ,1968           ,  81070906790 ,81.1B
112 ,GILD   ,Gilead Sciences                        ,Health Care            ,Biotechnology                                           ,"Foster City, California"                     ,2004-07-01  ,1987           ,  80843206500 ,80.8B
113 ,APH    ,Amphenol                               ,Information Technology ,Electronic Components                                   ,"Wallingford, Connecticut"                    ,2008-09-30  ,1932           ,  80739195720 ,80.7B
114 ,GD     ,General Dynamics                       ,Industrials            ,Aerospace & Defense                                     ,"Falls Church, Virginia"                      ,1957-03-04  ,1899           ,  80292624600 ,80.3B
115 ,MO     ,Altria                                 ,Consumer Staples       ,Tobacco                                                 ,"Richmond, Virginia"                          ,1957-03-04  ,1985           ,  79698032000 ,79.7B
116 ,DUK    ,Duke Energy                            ,Utilities              ,Electric Utilities                                      ,"Charlotte, North Carolina"                   ,1976-06-30  ,1904           ,  78998274840 ,79.0B
117 ,ICE    ,Intercontinental Exchange              ,Financials             ,Financial Exchanges & Data                              ,"Atlanta, Georgia"                            ,2007-09-26  ,2000           ,  77198805150 ,77.2B
118 ,CL     ,Colgate-Palmolive                      ,Consumer Staples       ,Household Products                                      ,"New York City, New York"                     ,1957-03-04  ,1806           ,  77088636360 ,77.1B
119 ,MCK    ,McKesson                               ,Health Care            ,Health Care Distributors                                ,"Irving, Texas"                               ,1999-01-13  ,1833           ,  76859421349 ,76.9B
120 ,CVS    ,CVS Health                             ,Health Care            ,Health Care Services                                    ,"Woonsocket, Rhode Island"                    ,1957-03-04  ,1996           ,  75322200000 ,75.3B
121 ,SHW    ,Sherwin-Williams                       ,Materials              ,Specialty Chemicals                                     ,"Cleveland, Ohio"                             ,1964-06-30  ,1866           ,  75050504000 ,75.1B
122 ,MCO    ,Moody's Corporation                    ,Financials             ,Financial Exchanges & Data                              ,"New York City, New York"                     ,1998-07-01  ,1909           ,  73646232000 ,73.6B
123 ,TT     ,Trane Technologies                     ,Industrials            ,Building Products                                       ,"Dublin, Ireland"                             ,2010-11-17  ,1871           ,  73591562240 ,73.6B
124 ,TDG    ,TransDigm Group                        ,Industrials            ,Aerospace & Defense                                     ,"Cleveland, Ohio"                             ,2016-06-03  ,1993           ,  72403583980 ,72.4B
125 ,EQIX   ,Equinix                                ,Real Estate            ,Data Center REITs                                       ,"Redwood City, California"                    ,2015-03-20  ,1998           ,  72154905596 ,72.2B
126 ,CME    ,CME Group                              ,Financials             ,Financial Exchanges & Data                              ,"Chicago, Illinois"                           ,2006-08-11  ,1848           ,  71544319400 ,71.5B
127 ,ITW    ,Illinois Tool Works                    ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Glenview, Illinois"                          ,1986-02-28  ,1912           ,  71090816000 ,71.1B
128 ,NXPI   ,NXP Semiconductors                     ,Information Technology ,Semiconductors                                          ,"Eindhoven, Netherlands"                      ,2021-03-22  ,1953           ,  71062254120 ,71.1B
129 ,FCX    ,Freeport-McMoRan                       ,Materials              ,Copper                                                  ,"Phoenix, Arizona"                            ,2011-07-01  ,1912           ,  70876416600 ,70.9B
130 ,EOG    ,EOG Resources                          ,Energy                 ,Oil & Gas Exploration & Production                      ,"Houston, Texas"                              ,2000-11-02  ,1999           ,  70131983330 ,70.1B
131 ,CTAS   ,Cintas                                 ,Industrials            ,Diversified Support Services                            ,"Mason, Ohio"                                 ,2001-03-01  ,1929           ,  69700007850 ,69.7B
132 ,CEG    ,Constellation Energy                   ,Utilities              ,Electric Utilities                                      ,"Baltimore, Maryland"                         ,2022-02-02  ,1999           ,  68818922287 ,68.8B
133 ,ECL    ,Ecolab                                 ,Materials              ,Specialty Chemicals                                     ,"Saint Paul, Minnesota"                       ,1989-01-31  ,1923           ,  68710997700 ,68.7B
134 ,BDX    ,Becton Dickinson                       ,Health Care            ,Health Care Equipment                                   ,"Franklin Lakes, New Jersey"                  ,1972-09-30  ,1897           ,  67899069640 ,67.9B
135 ,PYPL   ,PayPal                                 ,Financials             ,Transaction & Payment Processing Services               ,"San Jose, California"                        ,2015-07-20  ,1998           ,  67752658500 ,67.8B
136 ,TGT    ,Target Corporation                     ,Consumer Staples       ,Consumer Staples Merchandise Retail                     ,"Minneapolis, Minnesota"                      ,1976-12-31  ,1902           ,  67632903030 ,67.6B
137 ,PH     ,Parker Hannifin                        ,Industrials            ,Industrial Machinery & Supplies & Components            ,"Cleveland, Ohio"                             ,1985-11-30  ,1917           ,  67226943000 ,67.2B
138 ,MAR    ,Marriott International                 ,Consumer Discretionary ,"Hotels, Resorts & Cruise Lines"                        ,"Bethesda, Maryland"                          ,1998-05-29  ,1927           ,  66447102080 ,66.4B
139 ,SLB    ,Schlumberger                           ,Energy                 ,Oil & Gas Equipment & Services                          ,"Houston, Texas"                              ,1957-03-04  ,1926           ,  64263126400 ,64.3B
140 ,CSX    ,CSX                                    ,Industrials            ,Rail Transportation                                     ,"Jacksonville, Florida"                       ,1957-03-04  ,1980           ,  63867563100 ,63.9B
141 ,AON    ,Aon                                    ,Financials             ,Insurance Brokers                                       ,"London, UK"                                  ,1996-04-23  ,1982           ,  63859484700 ,63.9B
142 ,NOC    ,Northrop Grumman                       ,Industrials            ,Aerospace & Defense                                     ,"West Falls Church, Virginia"                 ,1957-03-04  ,1994           ,  63609061800 ,63.6B
143 ,MSI    ,Motorola Solutions                     ,Information Technology ,Communications Equipment                                ,"Chicago, Illinois"                           ,1957-03-04  ,1928           ,  62862020300 ,62.9B
144 ,APD    ,Air Products and Chemicals             ,Materials              ,Industrial Gases                                        ,"Allentown, Pennsylvania"                     ,1985-04-30  ,1940           ,  62425747860 ,62.4B
145 ,FDX    ,FedEx                                  ,Industrials            ,Air Freight & Logistics                                 ,"Memphis, Tennessee"                          ,1980-12-31  ,1971           ,  62118226830 ,62.1B
146 ,WELL   ,Welltower                              ,Real Estate            ,Health Care REITs                                       ,"Toledo, Ohio"                                ,2009-01-30  ,1970           ,  61860389360 ,61.9B
147 ,EMR    ,Emerson Electric                       ,Industrials            ,Electrical Components & Equipment                       ,"Ferguson, Missouri"                          ,1965-03-31  ,1890           ,  61563681000 ,61.6B
148 ,MPC    ,Marathon Petroleum                     ,Energy                 ,Oil & Gas Refining & Marketing                          ,"Findlay, Ohio"                               ,2011-07-01  ,2009           ,  61467491800 ,61.5B
149 ,USB    ,U.S. Bank                              ,Financials             ,Diversified Banks                                       ,"Minneapolis, Minnesota"                      ,1999-11-01  ,1968           ,  59999687000 ,60.0B
150 ,PNC    ,PNC Financial Services                 ,Financials             ,Regional Banks                                          ,"Pittsburgh, Pennsylvania"                    ,1988-04-30  ,1845           ,  59785526750 ,59.8B
151 ,ROP    ,Roper Technologies                     ,Information Technology ,Electronic Equipment & Instruments                      ,"Sarasota, Florida"                           ,2009-12-23  ,1981           ,  59487047400 ,59.5B
152 ,ORLY   ,O'Reilly Auto Parts                    ,Consumer Discretionary ,Automotive Retail                                       ,"Springfield, Missouri"                       ,2009-03-27  ,1957           ,  58895866823 ,58.9B
153 ,RSG    ,Republic Services                      ,Industrials            ,Environmental & Facilities Services                     ,"Phoenix, Arizona"                            ,2008-12-05  ,1998           ,  58782057800 ,58.8B
154 ,PSX    ,Phillips 66                            ,Energy                 ,Oil & Gas Refining & Marketing                          ,"Houston, Texas"                              ,2012-05-01  ,2012           ,  58628322080 ,58.6B
155 ,MRNA   ,Moderna                                ,Health Care            ,Biotechnology                                           ,"Cambridge, Massachusetts"                    ,2021-07-21  ,2010           ,  56868983600 ,56.9B
156 ,MMM    ,3M                                     ,Industrials            ,Industrial Conglomerates                                ,"Saint Paul, Minnesota"                       ,1957-03-04  ,1902           ,  56066536520 ,56.1B
157 ,AJG    ,Arthur J. Gallagher & Co.              ,Financials             ,Insurance Brokers                                       ,"Rolling Meadows, Illinois"                   ,2016-05-31  ,1927           ,  55962220000 ,56.0B
158 ,CARR   ,Carrier Global                         ,Industrials            ,Building Products                                       ,"Palm Beach Gardens, Florida"                 ,2020-04-03  ,2020           ,  55862806000 ,55.9B
159 ,PCAR   ,Paccar                                 ,Industrials            ,Construction Machinery & Heavy Transportation Equipment ,"Bellevue, Washington"                        ,1980-12-31  ,1905           ,  55559370000 ,55.6B
160 ,GM     ,General Motors                         ,Consumer Discretionary ,Automobile Manufacturers                                ,"Detroit, Michigan"                           ,2013-06-06  ,1908           ,  55005681600 ,55.0B
